año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;ciiu6;id_ciiu6;rubro_vu;id_rubro_vu;region;provincia;comuna_;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes;ducto;norma;nombre_ducto;tabla;origen
2022;PRODUCTOS MARINOS PUERTO WILLIAMS LIMITADA;77733840-4;PRODUCTOS MARINOS PUERTO WILLIAMS LIMITADA;42275;Pesca marítima;A0311;Recolección y extracción de productos marinos;A031130;Pesca y acuicultura;3;Magallanes y de la Antártica Chilena;Antártica Chilena;Cabo de Hornos (Ex-Navarino);12201;-54,93099;-67,57220;0,00003;Cadmio;5;636;DS 90;PUNTO 1 ESTERO SIN NOMBRE;Tabla 1;SMA
2022;INMUEBLES CATALUNA LIMITADA;96865130-7;INMUEBLES CATALUÑA LTDA.;5441874;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Elaboración y conservación de crustáceos, moluscos y otros productos acuáticos, en plantas en tierra;C102040;Otras industrias manufactureras;10;Los Lagos;Chiloé;Ancud;10202;-41,87096;-73,77518;0,00328;Manganeso;22;150;DS 90;Cataluña;Tabla 5;SMA
2022;I MUNICIPALIDAD DE OLMUE;69061200-3;ILUSTRE MUNICIPALIDAD DE OLMUÉ;4055171;Actividades de la administración pública en general;O8411;Actividades de la administración pública en general;O841100;Otras actividades;20;Valparaíso;Marga Marga;Olmué;5803;-32,99813;-71,18928;0,00007;Tolueno;40;1001;DS 90;PUNTO 1 PTAS;Tabla 1;SMA
2022;SALMONES CAPTREN S.A.;78246180-K;PISCICULTURA EL CHILCO;4585692;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Malleco;Curacautín;9203;-38,57428;-71,79404;55,12934;Cloruros;7;943;DS 90;PUNTO 1 Vertiente Sin Nombre;Tabla 1;SMA
2022;AQUACHILE MAGALLANES SPA;78754560-2;PISCICULTURA HOLLEMBERG (120125);5458408;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Magallanes y de la Antártica Chilena;Última Esperanza;Natales;12401;-51,90390;-72,45205;0,08284;Zinc;43;229;DS 90;Punto 1, Bahía Desengaño;Tabla 5;SMA
2022;INMOBILIARIA RECONQUISTA S.A.;96999760-6;CENTRO DE BODEGAS GENERAL VELÁSQUEZ;5473772;Actividades inmobiliarias realizadas con bienes propios o arrendados;L6810;Alquiler de bienes inmuebles amoblados o con equipos y maquinarias;L681011;Otras actividades;20;Metropolitana de Santiago;Maipo;San Bernardo;13401;-33,53684;-70,71304;0,00000;Pentaclorofenol;28;1052;DS 46;PUNTO 1 INFILTRACIÓN;Tabla 1;SMA
2022;AES ANDES S A;94272000-9;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Valparaíso;Valparaíso;Puchuncaví;5105;-32,75256;-71,47932;87,99179;Fluoruro;15;84;DS 90;UNIDAD2;Tabla 4;SMA
2022;AQUASMOLT LIMITADA;76064350-5;PISCICULTURA MATANZA;244540;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Melipeuco;9110;-38,84150;-71,73026;151,28689;Cloruros;7;471;DS 90;PUNTO 1 ;Tabla 1;SMA
2022;BADINOTTI NET SERVICES AYSEN SPA;77044848-4;BADINOTTI NET SERVICES AYSEN;5460923;Fabricación de cuerdas, cordeles, bramantes y redes;C1394;Fabricación de cuerdas, cordeles, bramantes y redes;C139400;Otras industrias manufactureras;10;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Aysén;11201;-45,43239;-72,75871;0,00006;Indice Fenol;21;624;DS 90;PUNTO 1 ESTERO EL SALTO;Tabla 1;SMA
2022;SALMONES ANTARTICA S A;86100500-3;PISCICULTURA COREO;4585854;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Biobío;Biobío;Los Angeles;8301;-37,54858;-72,20494;0,02064;Cromo Total;12;441;DS 90;PUNTO 1, MALLIN, COREO;Tabla 3;SMA
2022;ACUICOLA E INVERSIONES NALCAHUE LIMITADA;76923661-9;PISCICULTURA COIPUE;67344;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Freire;9105;-39,07385;-72,46909;71,75985;Aceites y Grasas;1;751;DS 90;PUNTO 1 RIO TOLTEN;Tabla 1;SMA
2022;PISICULTURA PUERTO OCTAY S A;96640500-7;PISCICULTURA LOS TILCOS;5452026;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Puerto Montt;10101;-41,42975;-72,81946;0,06930;Sulfato;36;613;DS 90;PUNTO 1 ESTERO SIN NOMBRE AFL. RIO CHICO;Tabla 1;SMA
2022;AES ANDES S A;94272000-9;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Valparaíso;Valparaíso;Puchuncaví;5105;-32,75256;-71,47932;0,36767;Hidrocarburos Volatiles;19;83;DS 90;UNIDAD1;Tabla 4;SMA
2022;PATAGONIAFRESH S.A.;96912440-8;PATAGONIAFRESH PLANTA SAN FERNANDO;315112;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Libertador Gral. Bernardo O'Higgins;Colchagua;San Fernando;6301;-34,57006;-70,97348;0,00003;Tolueno;40;379;DS 90;PUNTO 1 CANAL EL TRAPICHE;Tabla 1;SMA
2022;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Metropolitana de Santiago;Melipilla;Alhué;13502;-34,09259;-71,18903;0,96161;Cobre;8;238;DS 90;Aguas Claras Embalse Caren;Tabla 1;SMA
2022;CMPC PULP SPA;96532330-9;CMPC CELULOSA PLANTA SANTA FE;3522;Fabricación de pasta de madera, papel y cartón;C1701;Fabricación de celulosa y otras pastas de madera;C170110;Industria del papel y celulosa;5;Biobío;Biobío;Nacimiento;8306;-37,51416;-72,65060;0,00437;Xileno;42;453;DS 90;PUNTO 1 RIO BIO BIO ;Tabla 2;SMA
2022;CIA SALMONIFERA DALCAHUE LIMITADA;79777030-2;PISCICULTURA RIO NILTRE;5440777;Acuicultura marina;A0321;Cultivo y crianza de peces marinos;A032110;Pesca y acuicultura;3;Los Ríos;Valdivia;Panguipulli;14108;-39,64231;-72,33608;17,26635;Nitrógeno Total;26;509;DS 90;PUNTO 2 RIO NILTRE;Tabla 3;SMA
2022;CIA SIDERURGICA HUACHIPATO S.A.;94637000-2;COMPAÑÍA SIDERÚRGICA HUACHIPATO;633;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Biobío;Concepción;Talcahuano;8110;-36,75169;-73,12542;1,05994;Zinc;43;193;DS 90;EMISARIO.C;Tabla 5;SMA
2022;GUACOLDA ENERGIA SPA;76418918-3;GUACOLDA;6638;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Atacama;Huasco;Huasco;3304;-28,46861;-71,25438;0,11646;Estaño;14;702;DS 90;UNIDAD 5 (ENFRIAMIENTO);Tabla 4;SMA
2022;AUSTRALIS MAR S.A.;76003885-7;PISCICULTURA KETRUN RAYEN;5442195;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Biobío;Biobío;Los Angeles;8301;-37,62596;-73,46233;0,00055;Mercurio;23;842;DS 90;PUNTO 1 RIO CALIBORO;Tabla 1;SMA
2022;PESQUERA Y CONSERVERA ISLA LENNOX  LIMITADA;79719510-3;PESQUERA Y CONSERVERA ISLA LENNOX LTDA.;879;Pesca marítima;A0311;Recolección y extracción de productos marinos;A031130;Pesca y acuicultura;3;Magallanes y de la Antártica Chilena;Magallanes;Punta Arenas;12101;-53,11573;-70,87428;0,00000;Cromo Total;12;230;DS 90;ISLA.LENNOX;Tabla 5;SMA
2022;PESQUERA DEEP SEA FOOD S A;79620310-2;PESQUERA DEEP SEA FOOD S.A.;5441852;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Elaboración y conservación de crustáceos, moluscos y otros productos acuáticos, en plantas en tierra;C102040;Otras industrias manufactureras;10;Los Lagos;Chiloé;Quellón;10208;-43,11954;-73,63704;0,00006;Cadmio;5;128;DS 90;DEEP.DEA.FOOD;Tabla 5;SMA
2022;I MUNICIPALIDAD DE VICHUQUEN;69100700-6;PLANTA DE TRATAMIENTO AGUAS SERVIDAS LLICO;5481212;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;Plantas de tratamiento de aguas servidas;14;Maule;Curicó;Vichuquén;7309;-34,76351;-72,07978;0,22725;Sulfato;36;1044;DS 90;PUNTO 1 ESTERO LLICO;Tabla 1;SMA
2022;HENDRIX GENETICS AQUACULTURE SA;96753540-0;PISCICULTURA CATRIPULLI;4586424;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Curarrehue;9104;-39,39014;-71,68036;0,00062;Molibdeno;24;505;DS 90;PUNTO 1;Tabla 1;SMA
2022;EXPORTADORA LOS FIORDOS LIMITADA;79872420-7;PISCICULTURA PARGUA (104372);5469458;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Calbuco;10102;-41,79405;-73,39978;0,02200;Sulfuro;37;865;DS 90;PUNTO 1 BAHIA DE PARGUA;Tabla 5;SMA
2022;SERVICIOS INDUSTRIALES B Y B LIMITADA;77846020-3;SERVICIOS INDUSTRIALES B&B NETS LTDA.;4587224;Acuicultura marina;A0321;Servicios relacionados con la acuicultura marina;A032140;Pesca y acuicultura;3;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Cisnes;11202;-44,75484;-72,68231;0,02893;Sólidos Suspendidos Totales;35;900;DS 90;PUNTO 1 RIO CISNES;Tabla 2;SMA
2022;PESQUERA BAHIA CALDERA S A;99575430-4;PESQUERA BAHIA CALDERA SA;5441772;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Producción de harina de pescado;C102010;Otras industrias manufactureras;10;Atacama;Copiapó;Caldera;3102;-27,05203;-70,80691;0,00211;Níquel;25;40;DS 90;B.CALDERA;Tabla 5;SMA
2022;COMERCIALIZADORA NUTRECO CHILE LIMITADA;96701530-K;SKRETTING ARC PARGUA;5474272;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Calbuco;10102;-41,78590;-73,45155;0,00942;Fluoruro;15;975;DS 90;PUNTO 1 DESCARGA 1;Tabla 4;SMA
2022;VITAPRO CHILE S.A.;96677260-3;ESTACION EXPERIMENTAL QUILLAIPE;5441926;Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería;M7210;Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería;M721000;Otras actividades;20;Los Lagos;Llanquihue;Puerto Montt;10101;-41,55508;-72,73344;0,00000;Níquel;25;201;DS 90;P3, SECTOR CRECIMIENTO ;Tabla 4;SMA
2022;AES ANDES S A;94272000-9;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;5441369;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Antofagasta;Tocopilla;Tocopilla;2301;-22,09558;-70,21025;0,53743;Indice Fenol;21;68;DS 90;CENTRAL.NUEVA.TOC EMISARIO SUBMARINO;Tabla 4;SMA
2022;;6110436-4;PISCICULTURA LAS ARAUCARIAS;5453882;Acuicultura marina;A0321;Cultivo y crianza de peces marinos;A032110;Pesca y acuicultura;3;Araucanía;Malleco;Curacautín;9203;-38,41191;-71,71094;0,02226;Sulfuro;37;468;DS 90;PUNTO 1 ESTERO SIN NOMBRE;Tabla 2;SMA
2022;EXPORTADORA SANTA CRUZ S A;96581970-3;PACKING LAS MERCEDES;322510;Actividades poscosecha;A0163;Actividades poscosecha;A016300;Producción agropecuaria;1;Metropolitana de Santiago;Santiago;Pudahuel;13124;-33,44501;-70,81500;0,00002;Cobre;8;323;DS 90;PUNTO 1 CANAL SAN PEDRO;Tabla 1;SMA
2022;ENEL GENERACION CHILE S.A.;91081000-6;SAN ISIDRO 2;1211027;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Valparaíso;Quillota;Quillota;5501;-32,93703;-71,31638;16,21617;Cloruros;7;848;DS 90;SAN ISIDRO 2 RIO ACONCAGUA (DICIEMBRE a ABRIL);Tabla 2;SMA
2022;IFCO SYSTEMS CHILE S.A.;76354580-6;IFCO SYSTEMS CHILE S A;5469814;Otras industrias manufactureras n.c.p.;C3290;Otras industrias manufactureras n.c.p.;C329000;Otras industrias manufactureras;10;Metropolitana de Santiago;Santiago;Quilicura;13125;-33,37508;-70,75179;0,00050;Cadmio;5;876;DS 90;PUNTO CANAL SALADILLO-LO ECHEVERS;Tabla 1;SMA
2022;ORAFTI CHILE S A;77894990-3;ORAFTI CHILE S A;245367;Elaboración de otros productos alimenticios n.c.p.;C1079;Elaboración de otros productos alimenticios n.c.p.;C107909;Otras industrias manufactureras;10;Ñuble;Diguillín;Pemuco;16105;-36,91338;-72,34326;0,00104;Indice Fenol;21;245;DS 90;PUNTO 1 RIO RELBUN;Tabla 2;SMA
2022;INVERTEC NATURAL JUICE S A;96844830-7;INVERTEC NATURAL JUICE S A;3507;Elaboración de otros productos alimenticios n.c.p.;C1079;Elaboración de otros productos alimenticios n.c.p.;C107909;Otras industrias manufactureras;10;Libertador Gral. Bernardo O'Higgins;Cachapoal;Rengo;6115;-34,41933;-70,86635;0,00510;Fluoruro;15;794;DS 90;PUNTO 1 CANAL DE DERRAME;Tabla 1;SMA
2022;CARTULINAS CMPC SPA;96731890-6;CARTULINAS CMPC PLANTA VALDIVIA;5441936;Fabricación de pasta de madera, papel y cartón;C1701;Fabricación de papel y cartón para su posterior uso industrial n.c.p.;C170190;Industria del papel y celulosa;5;Los Ríos;Valdivia;Valdivia;14101;-39,79099;-73,19497;0,00209;Triclorometano;41;213;DS 90;CMPC;Tabla 2;SMA
2022;AGROINDUSTRIAS LOMAS COLORADAS LTDA;88792300-0;AGROIND.LOMAS COLORADAS;555;Elaboración y conservación de carne;C1010;Explotación de mataderos de bovinos, ovinos, equinos, caprinos, porcinos y camélidos ;C101011;Otras industrias manufactureras;10;Biobío;Concepción;San Pedro de la Paz;8108;-36,88196;-73,14031;0,01651;Fluoruro;15;186;DS 90;AGROLOMAS;Tabla 5;SMA
2022;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Metropolitana de Santiago;Melipilla;Alhué;13502;-34,09259;-71,18903;0,01426;Pentaclorofenol;28;238;DS 90;Aguas Claras Embalse Caren;Tabla 1;SMA
2022;PESQUERA TRANS ANTARTIC LIMITADA;76169670-K;TRANS ANTARTIC;5441836;Acuicultura marina;A0321;Servicios relacionados con la acuicultura marina;A032140;Pesca y acuicultura;3;Los Lagos;Llanquihue;Puerto Montt;10101;-41,49559;-72,98648;0,03079;Hidrocarburos Volatiles;19;112;DS 90;T.ANTARTIC;Tabla 5;SMA
2022;DANISCO CHILE S.A.;96627500-6;DANISCO;5441825;Acuicultura marina;A0321;Cultivo, reproducción y manejo de algas marinas;A032120;Pesca y acuicultura;3;Los Lagos;Llanquihue;Calbuco;10102;-41,78365;-73,44567;0,00052;Níquel;25;101;DS 90;DANISCO.DESCARGA;Tabla 5;SMA
2022;SOCIEDAD MINERA PACIFICO DEL SUR SPA;77053711-8;Sociedad Minera Pacifico del Sur SPA;5480455;Extracción de minerales de hierro;B0710;Extracción de minerales de hierro;B071000;Minería;4;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Aysén;11201;-45,03113;-71,93993;0,02362;Cobre;8;1062;DS 90;PUNTO 1 RIO TOQUI;Tabla 2;SMA
2022;RELLENOS SANITARIOS DEL MAULE S A;99537670-9;RELLENO SANITARIO PARQUE EL GUANACO;245025;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;Gestores de residuos;15;Maule;Curicó;Teno;7308;-34,82381;-71,18223;0,00292;Zinc;43;424;DS 90;PUNTO 1 ESTERO NEGRO EL GUANACO;Tabla 1;SMA
2022;;3611018-K;PLANTA FAENADORA DE CARNES HN SAN CARLOS;5400802;Actividades de apoyo a la ganadería;A0162;Actividades de apoyo a la ganadería;A016200;Producción agropecuaria;1;Ñuble;Punilla;San Carlos;16301;-36,42886;-71,94912;0,00000;Níquel;25;428;DS 90;PUNTO 1 ESTERO MARGARITA;Tabla 1;SMA
2022;SALMONES CAPTREN S.A.;78246180-K;PISCICULTURA EL NEGRO;2524034;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Malleco;Curacautín;9203;-38,53792;-71,83070;68,63065;Nitrógeno Total  Kjeldahl;27;480;DS 90;PUNTO 1 ESTERO EL NEGRO IX;Tabla 1;SMA
2022;HIDRONOR CHILE S.A;96607990-8;PLANTA COPIULEMU;33161;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;Gestores de residuos;15;Biobío;Concepción;Florida;8104;-36,86390;-72,85627;0,00002;Xileno;42;856;DS 90;PUNTO 1 ESTERO LAS PUYAS;Tabla 1;SMA
2022;AQUASMOLT LIMITADA;76064350-5;PISCICULTURA MATANZA;244540;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Melipeuco;9110;-38,84150;-71,73026;0,00041;Cadmio;5;471;DS 90;PUNTO 1 ;Tabla 1;SMA
2022;MOWI CHILE S.A.;96633780-K;PISCICULTURA COPIHUE;5458663;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Puerto Varas;10109;-41,25460;-72,68709;1,54904;Sulfato;36;608;DS 90;DESCARGA 1 PUNTO RÍO COPÍHUE;Tabla 3;SMA
2022;ALIMENTOS E INVERSIONES VALLES DE CHILE LIMITADA;76186718-0;VALLES DE CHILE LTDA;5472793;Actividades poscosecha;A0163;Actividades poscosecha;A016300;Producción agropecuaria;1;Metropolitana de Santiago;Chacabuco;Tiltil;13303;-33,08721;-70,91987;0,00000;Pentaclorofenol;28;954;DS 46;PUNTO 1;Tabla 1;SMA
2022;GOLDEN OMEGA S.A.;76044336-0;GOLDEN OMEGA;2369657;Elaboración de aceites y grasas de origen vegetal y animal;C1040;Elaboración de aceites y grasas de origen vegetal y animal (excepto elaboración de mantequilla);C104000;Otras industrias manufactureras;10;Arica y Parinacota;Arica;Arica;15101;-18,50411;-70,31797;0,18055;SAAM;32;29;DS 90;G_OMEGA;Tabla 5;SMA
2022;PISCICOLA ENTRE RIOS LIMITADA;96594200-9;Centro Llallalca;90030;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Ríos;Valdivia;Panguipulli;14108;-39,82924;-71,98294;0,13338;Indice Fenol;21;788;DS 90;EFLUENTE CENTRO 1 RIO FUI;Tabla 1;SMA
2022;EMPRESAS CAROZZI S A;96591040-9;PLANTA NUTRIPRO LONTUE;5452039;Elaboración de piensos preparados para animales;C1080;Elaboración de piensos preparados para animales;C108000;Otras industrias manufactureras;10;Maule;Curicó;Sagrada Familia;7307;-35,04795;-71,28596;0,00008;Cianuro;6;974;DS 90;DESCARGA 1;Tabla 1;SMA
2022;SOCIEDAD COMERCIAL AGRICOLA Y FORESTAL HUINCACARA LIMITADA;76510460-2;PISCICULTURA HUINCACARA;5401986;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Villarrica;9120;-39,38055;-72,14329;0,23217;Indice Fenol;21;477;DS 90;PUNTO 1 ESTERO VOIPIR;Tabla 1;SMA
2022;SERVICIOS INDUSTRIALES B Y B LIMITADA;77846020-3;SERVICIOS INDUSTRIALES B&B NETS LTDA.;4587224;Acuicultura marina;A0321;Servicios relacionados con la acuicultura marina;A032140;Pesca y acuicultura;3;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Cisnes;11202;-44,75484;-72,68231;0,00422;Nitrógeno Total  Kjeldahl;27;900;DS 90;PUNTO 1 RIO CISNES;Tabla 2;SMA
2022;CORPESCA S A;96893820-7;TERMINAL DE ACEITE;5441762;Pesca marítima;A0311;Servicios relacionados con la pesca marítima;A031140;Pesca y acuicultura;3;Tarapacá;Iquique;Iquique;1101;-20,20544;-70,14235;0,00102;Cadmio;5;32;DS 90;SERENOR;Tabla 4;SMA
2022;SALMONES PACIFIC STAR S A;79559220-2;PLANTA DE PROCESO;5441857;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Elaboración y conservación de salmónidos;C102020;Otras industrias manufactureras;10;Los Lagos;Chiloé;Quellón;10208;-43,11903;-73,58272;0,05455;Fósforo;16;133;DS 90;P.STAR.QUELLON;Tabla 5;SMA
