año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;ciiu6;id_ciiu6;rubro_vu;id_rubro_vu;region;provincia;comuna_;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes;ducto;norma;nombre_ducto;tabla;origen
2022;EMPRESA NACIONAL DEL PETROLEO;92604000-6;GREGORIO;4586065;Fabricación de productos de la refinación del petróleo;C1920;Fabricación de productos de la refinación del petróleo;C192000;Refinería de petróleo;6;Magallanes y de la Antártica Chilena;Magallanes;San Gregorio;12104;-52,62349;-70,20099;0,00003;Estaño;14;158;DS 90;EMISARIO SUBMARINO EN BAHÍA GREGORIO;Tabla 5;SMA
2022;BADINOTTI NET SERVICES AYSEN SPA;77044848-4;BADINOTTI NET SERVICES AYSEN;5460923;Fabricación de cuerdas, cordeles, bramantes y redes;C1394;Fabricación de cuerdas, cordeles, bramantes y redes;C139400;Otras industrias manufactureras;10;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Aysén;11201;-45,43239;-72,75871;0,00002;Sulfuro;37;624;DS 90;PUNTO 1 ESTERO EL SALTO;Tabla 1;SMA
2022;ACUICOLA, INMOBILIARIA E INVERSIONES ARAUCANIA LIMITADA;76382240-0;PISCICULTURA LLAIMA CHERQUEN;4591600;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Melipeuco;9110;-38,87891;-71,81388;0,00229;Pentaclorofenol;28;654;DS 90;Punto 1, Rio LLaima;Tabla 1;SMA
2022;SOCIEDAD PROA LTDA;76194520-3;SOCIEDAD PROA DALCAHUE;5471279;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Elaboración y conservación de otros pescados, en plantas en tierra (excepto barcos factoría);C102030;Otras industrias manufactureras;10;Los Lagos;Chiloé;Dalcahue;10205;-42,37752;-73,64397;0,00018;Estaño;14;977;DS 90;PUNTO 1 ;Tabla 5;SMA
2022;EXPORTADORA LOS FIORDOS LIMITADA;79872420-7;PISCICULTURA HORNOPIREN (102917);4587862;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Palena;Hualaihué;10403;-41,93150;-72,47659;1115,45778;Cloruros;7;622;DS 90;ETAPA I y Aguas Servidas (Estero S/N 1);Tabla 2;SMA
2022;VITAL AGUAS S.A.;76389720-6;VITAL AGUAS;386218;"Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas";C1104;Producción de aguas minerales y otras aguas embotelladas;C110402;Otras industrias manufactureras;10;Libertador Gral. Bernardo O'Higgins;Cachapoal;Rengo;6115;-34,41804;-70,77764;0,00003;Boro;4;447;DS 90;PUNTO 1 CANAL CERRILLOS;Tabla 1;SMA
2022;AQUAGEN CHILE S A;96912840-3;PISCICULTURA COMAU;5452758;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Palena;Chaitén;10401;-42,21390;-72,64079;0,00122;Cobre;8;690;DS 90;Punto 1 AYACARA;Tabla 1;SMA
2022;INDUSTRIAS ISLA QUIHUA S A;99579230-3;INDUSTRIAS ISLA QUIHUA SA;7047;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Producción de harina de pescado;C102010;Otras industrias manufactureras;10;Biobío;Concepción;Lota;8106;-37,09581;-73,15735;0,03087;Manganeso;22;185;DS 90;I.QUIHUA.LOTA;Tabla 5;SMA
2022;ST ANDREWS SMOKY DELICACIES S A;96783150-6;ST ANDREWS SA;5441957;Acuicultura marina;A0321;Reproducción y cría de moluscos, crustáceos y gusanos marinos;A032130;Pesca y acuicultura;3;Los Lagos;Chiloé;Chonchi;10203;-42,61578;-73,78960;2,40720;Sulfato;36;696;DS 90;PUNTO 1, SECTOR HUITAUQUE;Tabla 5;SMA
2022;EMPRESA ELECTRICA VENTANAS SPA;96814370-0;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;309729;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Valparaíso;Valparaíso;Puchuncaví;5105;-32,75250;-71,47934;52,94950;Boro;4;82;DS 90;VENTANAS.3;Tabla 4;SMA
2022;HENDRIX GENETICS AQUACULTURE SA;96753540-0;PISCICULTURA CATRIPULLI;4586424;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Curarrehue;9104;-39,39014;-71,68036;0,00062;Xileno;42;505;DS 90;PUNTO 1;Tabla 1;SMA
2022;SUGAL CHILE LIMITADA;76216511-2;SUGAL CHILE PLANTA TALCA;323747;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Maule;Talca;Talca;7101;-35,44426;-71,60803;0,00006;Pentaclorofenol;28;853;DS 90;PUNTO 1 PLANTA TALCA;Tabla 1;SMA
2022;SALMONES CAPTREN S.A.;78246180-K;PISCICULTURA CHINQUIHUE;5457984;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Puerto Montt;10101;-41,50789;-73,02480;0,00009;Xileno;42;543;DS 90;PUNTO 1 ;Tabla 1;SMA
2022;CERVECERA CCU CHILE LIMITADA;96989120-4;CERVECERA CCU CHILE LTDA. (2);11626;Elaboración de bebidas malteadas y de malta;C1103;Elaboración de bebidas malteadas y de malta;C110300;Otras industrias manufactureras;10;Metropolitana de Santiago;Santiago;Quilicura;13125;-33,36098;-70,70325;0,05029;Hierro Disuelto;20;333;DS 90;PUNTO 1 ESTERO LAS CRUCES;Tabla 1;SMA
